Game,Login,NickName,Rank,Max,Record,Mode,CPs,MapCPs,Challenge,Envir,RecordDate,MapUID
TMU,dannydemunk,calzone.,16,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2025-07-06 21:25:34,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,yohanm77,הѕс ¬ wosile,15,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2024-08-17 09:54:42,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,vin78,הѕс¬ chinese are watching,14,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2024-08-02 18:23:58,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,sascha_67,micro,13,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2022-05-31 19:59:36,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,stephaneneves,הѕс ¬ Ѕтерн,4,30,12.82,TAttack,4,4/4,Very Short *79*,Stadium,2020-05-05 23:54:49,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,nici0903,Hèिést,12,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2019-11-27 23:15:15,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,brunobarros_17,Mawi,11,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2018-09-05 15:11:34,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,dioseb,νѕρ.םιоѕєв,9,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2018-05-04 21:02:26,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,amenophis,AmenO,10,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2018-05-04 21:02:26,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,frankyy33,ωаѕρ.Rainy,8,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2016-07-25 20:55:02,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,remix59551,הѕс CobesS,1,30,12.81,TAttack,4,4/4,Very Short *79*,Stadium,2016-02-11 13:43:42,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,julianwa,sigN｜Skora,7,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2015-12-12 00:15:56,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,darkevile,Nexus,3,30,12.82,TAttack,4,4/4,Very Short *79*,Stadium,2014-10-28 17:52:30,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,dropsi,LeG〢тєяуσॆ!,6,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2012-08-23 23:45:51,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,freuden,ヂréuden°ॅ८ु°,30,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2012-08-23 23:40:04,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,pepernooot,pepernooot,29,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2012-05-13 10:31:10,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,babyface12,kings.baby,28,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2011-12-30 18:38:06,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,predator_one,הѕс¬  aしy,5,30,12.83,TAttack,4,4/4,Very Short *79*,Stadium,2011-12-30 17:31:36,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,plastunio,PlastoToTheFucking rex,2,30,12.82,TAttack,4,4/4,Very Short *79*,Stadium,2011-12-30 02:54:51,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,lightthetorches,Flux,27,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2011-08-26 01:28:41,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,p3t3r333,νѕρ:..νївёя,26,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2011-05-31 20:48:48,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,clemhugo,νѕρ.иσ меαи!,25,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2011-05-12 14:10:51,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,boulishcpi,ef0Zoudberg0.!5!4!78,24,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2011-01-17 16:44:23,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,fra-fsxr32,ӡooל nani ぷ acorn,23,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2010-12-16 17:07:58,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,bigboss.,dZ`b0SS,22,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2010-12-08 19:26:28,lgGT9YqdTOZ0RipFSV5x1zyqYEg
TMU,swarci,yolo! соחеІ,21,30,12.84,TAttack,4,4/4,Very Short *79*,Stadium,2010-08-25 16:49:57,lgGT9YqdTOZ0RipFSV5x1zyqYEg
